rule_0,36.230.166.13
rule_1,69.206.194.74
rule_2,73.11.243.16
rule_3,51.235.130.12
rule_4,49.133.72.68
rule_5,29.58.7.240
rule_6,168.9.87.121
rule_7,30.95.112.218
rule_8,119.91.106.190
rule_9,138.74.25.251
rule_10,100.40.31.46
rule_11,67.4.45.222
rule_12,22.48.241.66
rule_13,92.37.228.6
rule_14,191.133.110.155
rule_15,44.34.212.60
rule_16,161.224.131.106
rule_17,169.126.251.154
rule_18,130.249.193.160
rule_19,58.194.74.13
rule_20,99.55.169.73
rule_21,82.63.10.91
rule_22,124.18.69.157
rule_23,67.75.96.205
rule_24,142.20.141.119
rule_25,107.166.79.233
rule_26,70.96.165.125
rule_27,101.236.187.17
rule_28,14.66.85.163
rule_29,184.149.131.44
rule_30,78.135.54.34
rule_31,21.151.84.220
rule_32,173.233.17.21
rule_33,13.71.170.230
rule_34,20.228.208.135
rule_35,185.141.32.211
rule_36,185.237.141.139
rule_37,30.156.206.120
rule_38,162.198.90.65
rule_39,137.201.64.57
rule_40,121.98.70.101
rule_41,83.137.80.21
rule_42,137.221.226.195
rule_43,19.96.224.120
rule_44,27.201.16.119
rule_45,67.37.151.60
rule_46,189.192.79.31
rule_47,164.185.238.84
rule_48,68.150.233.66
rule_49,118.46.252.80
rule_50,125.167.124.133
rule_51,67.212.175.140
rule_52,79.55.241.97
rule_53,12.62.141.83
rule_54,30.201.249.90
rule_55,115.35.29.236
rule_56,182.8.219.229
rule_57,64.77.99.64
rule_58,24.140.142.241
rule_59,62.201.111.235
rule_60,183.174.122.61
rule_61,116.131.158.208
rule_62,178.218.176.224
rule_63,151.222.97.38
rule_64,109.107.27.110
rule_65,185.254.105.53
rule_66,191.88.55.3
rule_67,106.120.89.1
rule_68,66.149.249.97
rule_69,29.97.24.1
rule_70,42.4.166.95
rule_71,136.25.95.139
rule_72,75.79.231.114
rule_73,66.194.231.232
rule_74,27.39.217.206
rule_75,169.140.25.152
rule_76,116.138.249.161
rule_77,133.249.210.92
rule_78,123.116.14.227
rule_79,54.19.19.216
rule_80,46.22.219.232
rule_81,171.83.216.191
rule_82,107.145.10.141
rule_83,103.120.197.90
rule_84,113.89.102.236
rule_85,73.172.173.86
rule_86,169.248.7.143
rule_87,159.55.6.79
rule_88,135.44.231.61
rule_89,32.119.158.33
rule_90,83.73.106.99
rule_91,111.7.229.146
rule_92,45.120.95.179
rule_93,16.13.9.54
rule_94,89.77.126.118
rule_95,150.179.207.14
rule_96,122.135.60.176
rule_97,19.153.21.232
rule_98,146.95.192.159
rule_99,132.142.42.98
rule_100,182.164.53.68
rule_101,173.187.205.73
rule_102,69.181.123.227
rule_103,165.164.122.130
rule_104,183.92.248.251
rule_105,120.102.20.29
rule_106,54.152.66.74
rule_107,114.5.152.98
rule_108,73.231.240.80
rule_109,189.91.27.61
rule_110,128.190.209.252
rule_111,85.230.235.121
rule_112,58.140.166.85
rule_113,159.216.178.139
rule_114,147.201.129.214
rule_115,44.26.242.19
rule_116,162.122.247.15
rule_117,158.114.114.108
rule_118,79.124.59.124
rule_119,183.51.249.232
rule_120,138.94.6.32
rule_121,155.166.159.51
rule_122,138.105.185.54
rule_123,65.233.94.10
rule_124,32.139.57.164
rule_125,34.1.83.41
rule_126,115.173.209.148
rule_127,105.191.127.47
rule_128,140.123.221.232
rule_129,52.58.2.12
rule_130,127.104.17.31
rule_131,62.91.1.163
rule_132,119.43.221.204
rule_133,91.162.200.82
rule_134,31.162.39.140
rule_135,24.205.162.166
rule_136,101.230.47.142
rule_137,127.218.103.117
rule_138,15.173.138.6
rule_139,82.109.178.246
rule_140,102.172.41.233
rule_141,132.60.225.240
rule_142,119.246.156.122
rule_143,126.221.68.56
rule_144,181.15.7.48
rule_145,11.115.44.161
rule_146,142.234.201.184
rule_147,171.49.109.67
rule_148,146.150.31.184
rule_149,114.167.17.144
rule_150,80.151.86.174
rule_151,165.236.102.136
rule_152,11.128.146.146
rule_153,102.158.238.99
rule_154,96.159.107.40
rule_155,132.140.94.95
rule_156,144.81.3.106
rule_157,80.85.128.40
rule_158,60.213.14.198
rule_159,54.129.253.110
rule_160,67.254.90.33
rule_161,188.62.18.207
rule_162,91.54.197.187
rule_163,155.127.143.247
rule_164,49.56.43.53
rule_165,78.252.122.141
rule_166,100.245.96.146
